,0,1,2,3,4,5,6,7,8,9,10
0,Sfu (simon Fraser),CS,Masters,Rejected,I,2018,3.89,158,165,4,TRUE
1,Geogia Institution Of Technique(Gatech),CS,Masters,Accepted,O,2018,,,,,
2,"The University Of Pennsylvania (Penn, UPenn)",CS,PhD,Rejected,I,2018,6.7,167,166,5,TRUE
3,UMass (Amherst),CS,PhD,Accepted,I,2018,,,,,
4,Gatech (Georgia Tech),CS,Masters,Accepted,A,2018,3.7,160,162,5,TRUE
5,"University Of California, Santa Barbara (UCSB)",CS,PhD,Rejected,I,2018,,,,,
6,Simon Fraser University (SFU),CS,Masters,Rejected,I,2018,,,,,
7,Simon Fraser University (SFU),CS,PhD,Rejected,I,2018,,,,,
8,Simon Fraser,CS,Masters,Rejected,O,2018,,,,,
9,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,,,,,
10,University Of California Santa Barbara (UCSB),CS,PhD,Rejected,I,2018,,,,,
11,"University Of Masachusettes, Amherst",CS,Masters,Accepted,I,2018,3.87,166,166,,TRUE
12,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,,,,,
13,JHU (Johns Hopkins University),CS,Masters,Accepted,I,2018,,,,,
14,University Of Waterloo (UW / UWaterloo),CS,Masters,Accepted,I,2018,,162,170,4,TRUE
15,NC State University (NCSU),CS,Masters,Accepted,I,2018,,,,,
16,(SUNY) University At Buffalo,CS,Masters,Accepted,I,2018,3.4,152,162,3,TRUE
17,Simon Fraser  University,CS,Masters,Rejected,I,2018,,,,,
18,Simon Fraser University (SFU),CS,Masters,Rejected,I,2018,,,,,
19,Simon Fraser  University,CS,Masters,Rejected,I,2018,3.37,164,168,5.5,TRUE
20,Columbia Univerisity,CS,Masters,Rejected,I,2018,,,,,
21,Simon Fraser University (SFU),CS,Masters,Rejected,I,2018,,,,,
22,"California, Santa Barbara (UCSB)",CS,PhD,Rejected,I,2018,,,,,
23,Carnegie Mellon Univeristy (CMU),Other,Masters,Accepted,,2018,,,,,
24,University Of California Santa Barbara (UCSB),CS,PhD,Rejected,I,2018,4,161,168,4,TRUE
25,Simon Fraser  University,CS,Masters,Rejected,I,2018,,,,,
26,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,,,,,
27,University Of Columbia (FFSEAS),CS,Masters,Rejected,I,2018,3.64,150,169,4,TRUE
28,NYU Tandon,CS,Masters,Accepted,I,2018,,,,,
29,University Of Waterloo,CS,Masters,Rejected,I,2018,,,,,
30,The University Of California - Santa Barbara (UCSB),CS,PhD,Rejected,I,2018,,,,,
31,Simon Fraser University (SFU),CS,Masters,Rejected,I,2018,,,,,
32,Simon Fraser University (SFU),CS,Masters,Rejected,I,2018,,,,,
33,"The University Of California, Santa Barbara (UCSB)",CS,PhD,Rejected,I,2018,,162,170,4,TRUE
34,Sfu (simon Fraser),CS,Masters,Rejected,I,2018,,,,,
35,Cornell  University,CS,Masters,Rejected,I,2018,3.94,158,167,,TRUE
36,Cornell (Ithaca),CS,Masters,Rejected,I,2018,3.25,155,170,4,TRUE
37,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.8,148,165,4,TRUE
38,Cornell (Ithaca),CS,Masters,Rejected,I,2018,,,,,
39,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,,,,,
40,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
41,University Of Minnesota - Twin Cities (UMN) - Twin Cities (UMN),CS,Masters,Rejected,I,2018,,,,,
42,Columbia University (Fu Foundation School Of Engineering),CS,Masters,Rejected,I,2018,3.16,160,159,,TRUE
43,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.69,149,165,4.5,TRUE
44,Simon Fraser University (SFU),CS,Masters,Rejected,A,2018,3.2,167,168,5.5,TRUE
45,Ohio Sate University(OSU),CS,Masters,Rejected,,2018,,,,,
46,Simon Fraser (sfu),CS,Masters,Rejected,I,2018,,,,,
47,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.84,154,167,4,TRUE
48,Simon Fraser  University,CS,Masters,Rejected,I,2018,,,,,
49,Simon Fraser University(SFU),CS,Masters,Rejected,I,2018,3.08,154,167,5,TRUE
50,Cornell (Ithaca),CS,Masters,Rejected,U,2018,3.77,161,166,4,TRUE
51,Columbia University,CS,Masters,Accepted,U,2018,,,,,
52,Columbia University (Fu Foundation SEAS),CS,Masters,Rejected,A,2018,3.87,151,170,4,TRUE
53,"Ohio State University (OSU) , Columbus",CS,PhD,Rejected,I,2018,3.5,160,163,3.5,TRUE
54,Montreal Institute For Learning Algorithms (MILA),CS,Masters,Rejected,I,2018,,,,,
55,University Of Michigan,CS,Masters,Accepted,U,2018,3.86,170,153,4,TRUE
56,ีUniversity Of Wisconsin - Madison,CS,Masters,Accepted,I,2018,3.7,165,169,5,TRUE
57,Carnagie Mellon University (CMU) LTI,CS,Masters,Accepted,I,2018,3.3,154,168,3.5,TRUE
58,University Of Wisconsin - Madison,CS,Masters,Rejected,I,2018,,168,170,4,TRUE
59,University Of Wisconsin - Madison,CS,Masters,Accepted,I,2018,,,,,
60,"The University Of Arizona, University Of Wisconsin- Madison",CS,Masters,Accepted,I,2018,,,,,
61,University Of Wisconsin - Madison,CS,Masters,Rejected,I,2018,,,,,
62,UW Madison,CS,Masters,Rejected,A,2018,,,,,
63,University Of Cambridge (UK),CS,Masters,Accepted,I,2018,,,,,
64,"University Of California, Los Angeles (UCLA)",CS,PhD,Rejected,I,2018,,162,170,4,TRUE
65,The University Of Tennessee Knoxville (UTK),CS,PhD,Accepted,I,2018,3.96,152,169,3.5,TRUE
66,"The University Of California, Los Angeles (UCLA)",CS,PhD,Rejected,I,2018,,,,,
67,UCLA,CS,PhD,Rejected,A,2018,,,,,
68,JHU (Johns Hopkins University),CS,Masters,Rejected,I,2018,3.6,158,166,4,TRUE
69,JHU (Johns Hopkins University),CS,Masters,Rejected,I,2018,3.5,160,163,3.5,TRUE
70,"Purdue University, West Lafayette",CS,Masters,Accepted,I,2018,,,,,
71,"(University Of California, Los Angeles (UCLA)",CS,PhD,Rejected,I,2018,,,,,
72,John Hopkins Unviersity,CS,Masters,Rejected,I,2018,8.6,158,167,4,TRUE
73,The University Of Massachusetts Amherst (UMass),CS,Masters,Rejected,I,2018,3.7,165,167,5,TRUE
74,The University Of Massachusetts Amherst (UMass),CS,PhD,Rejected,I,2018,,,,,
75,NC State (North Carolina State),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
76,Gatech (Georgia Tech),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
77,Stanford,CS,Masters,Rejected,U,2018,,,,,
78,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
79,"McGill University (Montreal, Canada)",CS,Masters,Accepted,I,2018,,,,,
80,Georgia Institute Of Technology (Georgia Tech),CS,Masters,Accepted,A,2018,3.6,168,167,5,TRUE
81,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,9.65,151,170,4.5,TRUE
82,Rutgers,CS,Masters,Rejected,I,2018,,161,162,3.5,TRUE
83,"The University Of Pennsylvania (Penn, UPenn)",Other,PhD,Rejected,U,2018,,,,,
84,The University Of Waterloo,CS,Masters,Rejected,I,2018,,,,,
85,Gatech (Georgia Tech),CS,Masters,Accepted,I,2018,,,,,
86,Dartmouth College,CS,Masters,Accepted,I,2018,,,,,
87,Gatech (Georgia Tech),CS,Masters,Rejected,I,2018,,,,,
88,Rutgers (New Brunswick),CS,Masters,Rejected,I,2018,,,,,
89,JHU (Johns Hopkins University),CS,Masters,Rejected,I,2018,,,,,
90,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,A,2018,3,169,164,5,TRUE
91,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
92,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
93,"McGill University (Montreal, Canada)",CS,Masters,Accepted,I,2018,3.7,164,167,3.5,TRUE
94,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
95,John Hopkins University,CS,Masters,Rejected,I,2018,,,,,
96,Georgia  Institute Of Technology (Gatech/Georgia Tech),CS,Masters,Rejected,I,2018,3.67,164,169,3.5,TRUE
97,University Of Pittsburgh,CS,PhD,Rejected,I,2018,,,,,
98,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,3.8,154,164,4,TRUE
99,Georgia  Institute Of Technology (Gatech Georgia Tech),CS,Masters,Rejected,,2018,,,,,
100,Santa Clara University,CS,Masters,Rejected,U,2018,,,,,
101,Columbia University (FFSEAS),CS,Masters,Accepted,A,2018,,,,,
102,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,I,2018,,151,169,3,TRUE
103,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,I,2018,3.6,158,169,4,TRUE
104,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,I,2018,3.7,162,170,4,TRUE
105,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,,2018,,,,,
106,Rutgers,CS,Masters,Rejected,I,2018,,,,,
107,Ohio State Univerisity,CS,Masters,Rejected,I,2018,3.2,158,169,4,TRUE
108,Rutgers (New Brunswick),CS,Masters,Rejected,I,2018,3.2,158,169,4,TRUE
109,The University Of Massachusetts Amherst (UMass),CS,PhD,Rejected,I,2018,,,,,
110,Ohio State (OSU),CS,Masters,Rejected,I,2018,,,,,
111,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.66,150,170,4,TRUE
112,Rutgers (New Brunswick,CS,Masters,Rejected,I,2018,,,,,
113,Carnegie  Mellon University (CMU),Other,Masters,Accepted,,2018,,,,,
114,GaTech (Georgia Institute Of Technology),CS,Masters,Accepted,I,2018,,,,,
115,National Science Foundation (NSF),CS,PhD,Accepted,A,2018,,,,,
116,NSF GRFP,CS,Other,Rejected,A,2018,,,,,
117,Auburn University,CS,PhD,Rejected,U,2018,,,,,
118,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
119,Ohio Sate University,CS,Masters,Rejected,I,2018,,,,,
120,University Of Illio,CS,PhD,Accepted,I,2018,,152,165,3.5,TRUE
121,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
122,Brown Univerisity,CS,Masters,Rejected,A,2018,4,167,163,4,TRUE
123,(University Of Virginia) UVA,CS,PhD,Rejected,A,2018,,,,,
124,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,,,,,
125,Gatech (Georgia Tech),CS,Masters,Rejected,I,2018,,,,,
126,Brown University,CS,Masters,Rejected,U,2018,,,,,
127,John Hopkins University,CS,Masters,Accepted,I,2018,3.7,159,170,4,TRUE
128,Ohio State (OSU),CS,Masters,Rejected,I,2018,3.2,154,167,3.5,TRUE
129,New York Univeristy,CS,Masters,Rejected,I,2018,,,,,
130,Massachusetts Institute Of Technology (MIT),CS,PhD,Rejected,I,2018,,,,,
131,Nyu,CS,Masters,Rejected,I,2018,3,161,162,4.5,TRUE
132,Carnagie Mellon University,CS,PhD,Accepted,A,2018,,,,,
