id,university,ranking, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
1,Columbia University,4.1,CS,PhD,Accepted,U,2017,3.98,165,170,335,4,TRUE
2,Columbia University,4.1,CS,PhD,Rejected,I,2016,3.82,159,170,329,4.5,TRUE
3,University Of Wisconsin - Madison,4.1,CS,Masters,Accepted,I,2017,3.36,155,168,323,3,TRUE
4,"University Of California, Irvine",3.4,CS,PhD,Accepted,U,2018,3.7,156,166,322,3.5,TRUE
5,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,A,2018,3.55,167,159,326,5,TRUE
6,University Of Washington,4.5,CS,PhD,Accepted,A,2013,3.9,158,170,328,4,TRUE
7,"University of North Carolina, Chapel Hill (UNC)",3.6,CS,PhD,Accepted,I,2013,3.91,163,168,331,4,TRUE
8,Princeton University,4.4,CS,PhD,Rejected,I,2015,3.85,152,169,321,3,TRUE
9,"University Of California, Berkeley",5,CS,PhD,Rejected,A,2012,3.87,164,161,325,5.5,TRUE
10,University Of Washington,4.5,CS,PhD,Rejected,A,2014,3.57,169,170,339,5,TRUE
11,University Of Washington,4.5,CS,PhD,Rejected,I,2017,3.76,153,163,316,4,TRUE
12,Purdue University,3.7,CS,PhD,Rejected,I,2017,3.67,162,167,329,4,TRUE
13,University Of Southern California (USC),3.7,CS,Masters,Rejected,I,2017,3,149,168,317,3,TRUE
14,"University Of California, San Diego (UCSD)",4,CS,PhD,Accepted,A,2015,3.8,170,169,339,4.5,TRUE
15,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2016,3.44,161,168,329,4,TRUE
16,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2015,3.7,156,161,317,4,TRUE
17,Florida State Univeristy,2.3,CS,Masters,Accepted,A,2017,3.6,154,160,314,4.5,TRUE
18,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2017,3.8,160,160,320,4,TRUE
19,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2018,3.9,160,166,326,3.5,TRUE
20,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,A,2014,3.73,163,169,332,5,TRUE
21,Brown University,3.6,CS,Masters,Rejected,A,2018,3.82,150,168,318,4,TRUE
22,University of Pennsylvania (UPenn),3.8,CS,Masters,Accepted,A,2017,3.8,159,164,323,5,TRUE
23,Columbia University,4.1,CS,Masters,Accepted,I,2017,3.66,161,170,331,4,TRUE
24,Harvard University,4,CS,PhD,Accepted,I,2015,3.83,153,170,323,3,TRUE
25,University Of Southern California (USC),3.7,CS,PhD,Accepted,A,2017,3.93,161,170,331,4.5,TRUE
26,Stanford University,5,CS,Masters,Accepted,A,2017,3.96,170,170,340,5.5,TRUE
27,Northeastern University (NEU),3,CS,PhD,Accepted,I,2018,3.6,160,165,325,4.5,TRUE
28,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2016,3.93,148,167,315,4,TRUE
29,University Of Maryland,4,CS,Masters,Rejected,I,2017,3.3,158,165,323,4.5,TRUE
30,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2015,3.7,157,170,327,4.5,TRUE
31,"University Of California, Irvine",3.4,CS,PhD,Accepted,I,2013,3.6,154,167,321,3.5,TRUE
32,Oregon State University,2.5,CS,Masters,Accepted,A,2018,3.5,157,162,319,4,TRUE
33,Stanford University,5,CS,Masters,Rejected,A,2014,3.9,160,165,325,4.5,TRUE
34,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,A,2017,4,158,170,328,5,TRUE
35,Texas A&M,3.1,CS,PhD,Rejected,I,2015,3.68,153,162,315,4,TRUE
36,Purdue University,3.7,CS,PhD,Accepted,A,2015,3.87,161,170,331,4.5,TRUE
37,University of Texas at Austin,4.3,CS,PhD,Rejected,I,2018,3.89,170,153,323,3.5,TRUE
38,North Carolina State University,3.1,CS,Masters,Accepted,I,2015,3.72,155,167,322,4,TRUE
39,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,I,2017,3.49,154,166,320,4,TRUE
40,University Of Maryland,4,CS,Masters,Rejected,I,2018,3.3,157,167,324,3.5,TRUE
41,Arizona State University (ASU),3.1,CS,PhD,Accepted,I,2017,3.77,150,167,317,3,TRUE
42,University Of Washington,4.5,CS,PhD,Rejected,A,2018,3.77,166,164,330,4,TRUE
43,Rice University,3.7,CS,Masters,Accepted,A,2015,3.63,166,161,327,4,TRUE
44,Yale University,3.7,CS,Masters,Rejected,I,2016,3.65,156,170,326,3,TRUE
45,Rutgers Univeresity,3.3,CS,Masters,Accepted,U,2017,3.5,150,170,320,4.5,TRUE
46,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Rejected,I,2014,3,165,170,335,4,TRUE
47,Northeastern University (NEU),3,CS,Masters,Accepted,I,2015,3.3,154,156,310,4,TRUE
48,University Of Maryland,4,CS,PhD,Rejected,I,2016,3.67,154,161,315,3,TRUE
49,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2014,3.98,169,157,326,3,TRUE
50,Northeastern University (NEU),3,CS,Masters,Rejected,I,2016,3,150,160,310,3.5,TRUE
51,North Carolina State University,3.1,CS,PhD,Accepted,I,2017,3.96,162,168,330,4,TRUE
52,Columbia University,4.1,CS,Masters,Accepted,I,2018,3.2,157,170,327,3,TRUE
53,Columbia University,4.1,CS,Masters,Rejected,I,2017,3.56,163,170,333,4.5,TRUE
54,Columbia University,4.1,CS,Masters,Accepted,U,2012,3.73,168,157,325,4,TRUE
55,Oregon State University,2.5,CS,Masters,Accepted,I,2018,3.77,154,169,323,3.5,TRUE
56,Rice University,3.7,CS,PhD,Accepted,A,2017,3.58,158,162,320,4.5,TRUE
57,Princeton University,4.4,CS,Masters,Rejected,I,2015,3.8,148,170,318,3,TRUE
58,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,A,2017,3.7,159,166,325,4.5,TRUE
59,Yale University,3.7,CS,PhD,Rejected,I,2017,3.2,162,170,332,3,TRUE
60,Northeastern University (NEU),3,CS,Masters,Accepted,A,2014,3.8,158,154,312,5,TRUE
61,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.8,156,170,326,3.5,TRUE
62,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,PhD,Accepted,I,2018,3.1,157,160,317,3.5,TRUE
63,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,Masters,Rejected,I,2016,3.6,145,159,304,3,TRUE
64,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,I,2013,3.72,153,169,322,4,TRUE
65,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,U,2015,4,165,170,335,5.5,TRUE
66,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,A,2018,3.9,158,170,328,4.5,TRUE
67,Yale University,3.7,CS,PhD,Accepted,I,2015,3.5,146,168,314,3,TRUE
68,"University Of California, Berkeley",5,CS,Masters,Accepted,A,2018,3.41,163,167,330,4,TRUE
69,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,A,2015,4,164,170,334,4.5,TRUE
70,"University Of California, Irvine",3.4,CS,Masters,Rejected,U,2018,3.64,140,163,303,2.5,TRUE
71,Yale University,3.7,CS,PhD,Rejected,I,2012,3.76,148,168,316,3.5,TRUE
72,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Rejected,I,2014,3.2,151,168,319,3.5,TRUE
73,"University Of California, Berkeley",5,CS,Masters,Rejected,A,2015,3.22,170,159,329,4,TRUE
74,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Accepted,U,2018,3.96,157,170,327,4,TRUE
75,"University Of California, Berkeley",5,CS,PhD,Rejected,I,2014,3.9,147,162,309,4,TRUE
76,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,4,145,164,309,3,TRUE
77,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Accepted,U,2012,3,160,145,305,3,TRUE
78,Cornell University,4.5,CS,Masters,Rejected,I,2016,3.8,157,165,322,3.5,TRUE
79,"University Of California, Berkeley",5,CS,PhD,Accepted,I,2014,4,159,169,328,3.5,TRUE
80,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2018,3.28,153,170,323,4,TRUE
81,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,3.7,162,161,323,4,TRUE
82,"University Of Colorado, Boulder",3.2,CS,PhD,Rejected,A,2012,3.31,163,164,327,4,TRUE
83,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Rejected,I,2018,3.55,160,169,329,4.5,TRUE
84,Northwestern University,3.4,CS,PhD,Rejected,I,2013,3.85,160,161,321,3,TRUE
85,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2014,4,159,165,324,4,TRUE
86,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,U,2012,3.99,163,170,333,5,TRUE
87,"University of Illinois, Chicago (UIC)",2.6,CS,PhD,Accepted,A,2015,3.92,161,155,316,4,TRUE
88,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,A,2018,3.95,168,170,338,5,TRUE
89,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2017,3.76,159,159,318,4,TRUE
90,New York University (NYU),3.4,CS,Masters,Accepted,A,2016,3.6,150,149,299,2.5,TRUE
91,"University Of California, San Diego (UCSD)",4,CS,PhD,Rejected,A,2014,3.86,157,156,313,4,TRUE
92,Colorado State University,2.4,CS,Masters,Accepted,I,2013,3.36,160,165,325,4,TRUE
93,Rutgers Univeresity,3.3,CS,Masters,Rejected,I,2016,3.67,150,162,312,3.5,TRUE
94,Massachusetts Institute of Technology (MIT),5,CS,PhD,Rejected,I,2012,2,165,166,331,5.5,TRUE
95,Columbia University,4.1,CS,Masters,Accepted,I,2016,3.04,157,163,320,4.5,TRUE
96,"University Of California, Irvine",3.4,CS,PhD,Rejected,U,2012,3.27,150,160,310,4,TRUE
97,Brown University,3.6,CS,PhD,Rejected,U,2014,3.86,157,165,322,3.5,TRUE
98,Northwestern University,3.4,CS,PhD,Accepted,I,2018,3.79,168,159,327,3.5,TRUE
99,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Rejected,I,2015,3.8,161,168,329,4.5,TRUE
100,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2017,4,153,162,315,3.5,TRUE
101,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2015,3.34,160,167,327,3.5,TRUE
102,State University of New York (SUNY) Stony Brook,3.2,CS,Masters,Accepted,I,2015,3.6,154,162,316,4,TRUE
103,California Institue Of Technology (Caltech),4.2,CS,PhD,Rejected,I,2012,3.39,162,161,323,3,TRUE
104,University Of California Los Angeles (UCLA),4.1,CS,PhD,Accepted,I,2015,3.82,149,163,312,3,TRUE
105,University Of Southern California (USC),3.7,CS,Masters,Rejected,A,2015,3.6,161,168,329,3.5,TRUE
106,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2014,3.3,161,168,329,4.5,TRUE
107,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.8,166,168,334,4,TRUE
108,"University Of California, Riverside",2.7,CS,PhD,Rejected,I,2014,3.75,149,159,308,3,TRUE
109,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,A,2018,3.67,163,167,330,4,TRUE
110,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,PhD,Accepted,I,2015,3.89,152,163,315,3.5,TRUE
111,University Of Washington,4.5,CS,PhD,Accepted,U,2014,3.92,162,170,332,4,TRUE
112,"University Of California, Riverside",2.7,CS,PhD,Accepted,I,2013,3.7,167,151,318,3.5,TRUE
113,University Of Washington,4.5,CS,PhD,Rejected,U,2016,3.88,164,166,330,4,TRUE
114,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,A,2017,3.88,160,168,328,5,TRUE
115,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.3,155,167,322,4,TRUE
116,"University of California, Davis",3.3,CS,PhD,Accepted,I,2013,3.62,155,167,322,3.5,TRUE
117,Harvard University,4,CS,Masters,Rejected,A,2014,3.26,161,164,325,4.5,TRUE
118,Duke University,3.6,CS,Masters,Accepted,A,2018,3.95,169,170,339,5.5,TRUE
119,Colorado State University,2.4,CS,PhD,Rejected,I,2015,2.6,163,145,308,3,TRUE
120,Northeastern University (NEU),3,CS,PhD,Accepted,A,2013,3.83,160,167,327,4,TRUE
121,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,U,2017,3.89,164,169,333,4,TRUE
122,Purdue University,3.7,CS,Masters,Rejected,I,2014,3.6,153,169,322,3,TRUE
123,Columbia University,4.1,CS,Masters,Accepted,U,2018,3.84,164,169,333,5.5,TRUE
124,University Of Wisconsin - Madison,4.1,CS,Masters,Accepted,I,2017,3.5,160,170,330,3,TRUE
125,University Of Virginia (UVA),3.4,CS,PhD,Accepted,I,2015,3.84,140,161,301,3,TRUE
126,Rutgers Univeresity,3.3,CS,Masters,Accepted,I,2013,3,155,167,322,3,TRUE
127,North Carolina State University,3.1,CS,Masters,Accepted,I,2015,3.7,153,170,323,3,TRUE
128,Cornell University,4.5,CS,PhD,Accepted,A,2015,4,170,165,335,5,TRUE
129,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2016,3.53,158,168,326,4,TRUE
130,Stanford University,5,CS,Masters,Rejected,I,2015,3.84,157,169,326,4,TRUE
131,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.7,154,164,318,4,TRUE
132,"University Of California, San Diego (UCSD)",4,CS,PhD,Rejected,A,2017,3.6,161,162,323,5,TRUE
133,Stanford University,5,CS,PhD,Accepted,A,2017,3.96,160,170,330,4.5,TRUE
134,Purdue University,3.7,CS,Masters,Rejected,I,2015,3.2,157,167,324,5,TRUE
135,Arizona State University (ASU),3.1,CS,PhD,Accepted,I,2017,3.87,155,165,320,4,TRUE
136,"University Of California, Irvine",3.4,CS,Masters,Accepted,I,2016,3.55,153,164,317,4,TRUE
137,Duke University,3.6,CS,Masters,Accepted,U,2017,3.9,162,170,332,4,TRUE
138,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,A,2012,3.31,159,161,320,4.5,TRUE
139,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Accepted,U,2018,3.6,161,170,331,4,TRUE
140,The University Of Arizona,3.1,CS,PhD,Accepted,I,2013,3.35,160,162,322,4,TRUE
141,University of Delaware,2.5,CS,PhD,Accepted,U,2018,3.69,160,141,301,3,TRUE
142,Columbia University,4.1,CS,Masters,Rejected,A,2016,3.88,161,155,316,3,TRUE
143,"University of California, Davis",3.3,CS,PhD,Rejected,A,2017,3.84,170,165,335,5.5,TRUE
144,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2012,3.8,157,170,327,4,TRUE
145,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2017,3.82,166,170,336,4,TRUE
146,Texas A&M,3.1,CS,PhD,Rejected,I,2013,3.2,144,158,302,3,TRUE
147,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2015,3.7,160,170,330,4.5,TRUE
148,Indiana University,2.9,CS,Masters,Accepted,I,2016,3.15,153,164,317,3.5,TRUE
149,Boston University,3,CS,Masters,Rejected,A,2016,3.19,158,159,317,5,TRUE
150,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,I,2017,3.2,160,167,327,4,TRUE
151,"University of California, Santa Cruz (UCSC)",2.8,CS,Masters,Rejected,A,2014,3.5,134,163,297,3,TRUE
152,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,A,2017,3.96,164,166,330,3.5,TRUE
153,University Of Washington,4.5,CS,PhD,Rejected,I,2018,4,158,170,328,4,TRUE
154,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,I,2014,3.9,169,155,324,3.5,TRUE
155,University Of Washington,4.5,CS,PhD,Rejected,I,2016,3.81,166,163,329,4,TRUE
156,Princeton University,4.4,CS,PhD,Accepted,I,2015,4,163,168,331,4,TRUE
157,Indiana University,2.9,CS,Masters,Accepted,I,2018,3.54,155,170,325,3.5,TRUE
158,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2017,3.93,155,168,323,4.5,TRUE
159,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,U,2012,3.4,159,162,321,4.5,TRUE
160,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Accepted,I,2016,3.64,155,164,319,3.5,TRUE
161,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2013,3.9,158,170,328,3.5,TRUE
162,University of Chicago,3.4,CS,Masters,Accepted,I,2014,3.69,156,165,321,3,TRUE
163,"University Of California, Berkeley",5,CS,PhD,Rejected,A,2015,3.1,160,159,319,5,TRUE
164,North Carolina State University,3.1,CS,PhD,Accepted,I,2014,3.1,162,158,320,4,TRUE
165,Yale University,3.7,CS,Masters,Rejected,I,2018,3,162,165,327,4.5,TRUE
166,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,I,2012,3.96,158,168,326,4,TRUE
167,University Of Southern California (USC),3.7,CS,PhD,Accepted,I,2017,3.65,170,154,324,3,TRUE
168,"University Of California, Santa Barbara (UCSB)",3.3,CS,Masters,Rejected,A,2015,3.3,161,158,319,4.5,TRUE
169,"University Of California, Berkeley",5,CS,PhD,Accepted,I,2012,3.96,158,168,326,4,TRUE
170,New York University (NYU),3.4,CS,PhD,Rejected,A,2014,3.9,167,166,333,4,TRUE
171,Princeton University,4.4,CS,PhD,Rejected,I,2017,3.83,162,170,332,4,TRUE
172,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,U,2016,3.9,153,170,323,3.5,TRUE
173,Columbia University,4.1,CS,PhD,Rejected,A,2015,3.68,165,165,330,4,TRUE
174,Cornell University,4.5,CS,PhD,Accepted,I,2013,3.95,162,170,332,3.5,TRUE
175,Stanford University,5,CS,PhD,Rejected,A,2015,3.82,162,167,329,4.5,TRUE
176,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.72,155,161,316,4.5,TRUE
177,Massachusetts Institute of Technology (MIT),5,CS,PhD,Rejected,A,2014,4,162,170,332,4,TRUE
178,Yale University,3.7,CS,Masters,Rejected,I,2014,3.6,158,170,328,3.5,TRUE
179,Princeton University,4.4,CS,PhD,Rejected,A,2012,3.5,161,159,320,4,TRUE
180,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2016,3.5,155,159,314,3.5,TRUE
181,University Of Washington,4.5,CS,PhD,Rejected,I,2015,3.8,154,170,324,4.5,TRUE
182,Harvard University,4,CS,Masters,Rejected,I,2013,3.9,163,165,328,4,TRUE
183,Colorado State University,2.4,CS,Masters,Accepted,I,2014,3.8,148,159,307,3,TRUE
184,New York University (NYU),3.4,CS,Masters,Accepted,I,2014,3.14,166,167,333,4.5,TRUE
185,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2017,3.8,157,163,320,4,TRUE
186,University of Chicago,3.4,CS,PhD,Rejected,I,2013,3.68,160,170,330,3.5,TRUE
187,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Rejected,I,2016,3,154,167,321,4,TRUE
188,University Of Virginia (UVA),3.4,CS,Masters,Accepted,U,2017,3.4,170,148,318,3,TRUE
189,University Of Wisconsin - Madison,4.1,CS,PhD,Rejected,I,2014,3.57,155,169,324,3,TRUE
190,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2016,3.48,167,159,326,5,TRUE
191,New York University (NYU),3.4,CS,Masters,Accepted,A,2018,3.58,158,168,326,5.5,TRUE
192,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Rejected,I,2016,3.66,158,168,326,5,TRUE
193,Stanford University,5,CS,Masters,Rejected,A,2018,3.6,165,164,329,5,TRUE
194,North Carolina State University,3.1,CS,PhD,Accepted,I,2015,3.8,160,167,327,4,TRUE
195,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2015,3.28,166,165,331,5.5,TRUE
196,North Carolina State University,3.1,CS,Masters,Accepted,I,2015,3.77,155,167,322,4,TRUE
197,Columbia University,4.1,CS,Masters,Rejected,A,2016,3.98,156,155,311,3,TRUE
198,Stanford University,5,CS,PhD,Rejected,A,2013,3.84,160,164,324,5,TRUE
199,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2013,3.7,150,162,312,3,TRUE
200,North Carolina State University,3.1,CS,Masters,Accepted,I,2018,3.3,151,168,319,4,TRUE
201,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Accepted,A,2016,3.5,166,164,330,5,TRUE
202,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2017,2.97,161,159,320,5,TRUE
203,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2018,3.5,164,155,319,4,TRUE
204,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,U,2015,3.96,147,170,317,3.5,TRUE
205,Stanford University,5,CS,PhD,Rejected,I,2014,4,154,164,318,4,TRUE
206,Brown University,3.6,CS,Masters,Accepted,A,2014,3.75,164,163,327,5.5,TRUE
207,Stanford University,5,CS,Masters,Rejected,I,2016,3.7,156,169,325,4,TRUE
208,Texas A&M,3.1,CS,Masters,Accepted,A,2014,3.3,162,168,330,3.5,TRUE
209,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,I,2018,3.7,152,162,314,4,TRUE
210,Princeton University,4.4,CS,Masters,Accepted,U,2015,3.95,164,170,334,4,TRUE
211,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,U,2017,3.89,164,169,333,4,TRUE
212,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,U,2016,3.72,165,142,307,3,TRUE
213,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,U,2016,3.36,164,168,332,4,TRUE
214,Yale University,3.7,CS,Masters,Accepted,A,2014,3.9,162,170,332,5,TRUE
215,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Accepted,A,2016,3.81,164,168,332,4.5,TRUE
