id,university,score, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
1,NCSU,3.1,CS,Masters,Rejected,I,2015,3.5,154,163,317,4,TRUE
2,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2015,3.32,162,153,315,4,TRUE
3,Clemson University,2.3,CS,PhD,Accepted,A,2013,3.5,164,165,329,5.5,TRUE
4,Illinois Urbana Champain UIUC,4.6,CS,Masters,Accepted,A,2016,3.96,166,170,336,4.5,TRUE
5,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2013,3.86,157,169,326,3.5,TRUE
6,Cornell University,4.5,CS,Masters,Rejected,I,2012,3.6,147,158,305,3,TRUE
7,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Rejected,U,2016,3.72,165,142,307,3,TRUE
8,University Of Southern California,3.7,CS,PhD,Accepted,I,2013,7,160,167,327,3,TRUE
9,State University Of Stony Brook (SUNY),3.2,CS,Masters,Accepted,I,2018,3.6,167,154,321,4,TRUE
10,University Of Washington Seattle,4.5,CS,PhD,Accepted,I,2012,3.65,152,167,319,3.5,TRUE
11,UC Irvine,3.4,CS,Masters,Rejected,I,2015,3.5,144,145,289,3,TRUE
12,Carnegie Mellon University,5,CS,Masters,Rejected,I,2016,8.89,149,170,319,4,TRUE
13,Columbia FFSEAS,4.1,CS,Masters,Accepted,A,2018,3.6,164,169,333,4.5,TRUE
14,NYU Courant,3.4,CS,PhD,Accepted,A,2015,3.82,168,170,338,4.5,TRUE
15,SUNY Buffalo,2.7,CS,Masters,Accepted,I,2014,3.2,151,168,319,3.5,TRUE
16,North Carolina State University,3.1,CS,Masters,Accepted,I,2014,3.33,157,165,322,4,TRUE
17,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2016,3.96,161,164,325,4,TRUE
18,University Of Minnesota - Twin Cities (UMN),3.5,CS,Masters,Accepted,I,2018,3.6,158,169,327,4,TRUE
19,(SUNY) Stony Brook,3.2,CS,Masters,Accepted,I,2017,3.9,162,164,326,4,TRUE
20,Columbia,4.1,CS,Masters,Accepted,I,2015,3.8,162,168,330,4.5,TRUE
21,MIT,5,CS,PhD,Rejected,A,2014,3.75,164,163,327,5,TRUE
22,State University New York (SUNY) Stony Brook,3.2,CS,Masters,Accepted,I,2016,3.61,145,170,315,3.5,TRUE
23,Duke University,3.6,CS,Masters,Rejected,I,2015,3.69,160,170,330,3,TRUE
24,University Of Massachusetts Amherst (UMASS),3.7,CS,PhD,Accepted,U,2012,3.99,163,170,333,5,TRUE
25,TAMU (Texas A&M; University) College Station,3.1,CS,Masters,Accepted,A,2018,3.92,169,169,338,5,TRUE
26,CMU,5,CS,Masters,Rejected,I,2015,3.91,146,168,314,3,TRUE
27,University Of Washington Seattle,4.5,CS,PhD,Rejected,I,2015,3.84,154,167,321,3.5,TRUE
28,Princeton University,4.4,CS,Masters,Rejected,I,2015,3.5,157,170,327,4,TRUE
29,University Of Virginia,3.4,CS,Masters,Accepted,A,2015,3.58,159,160,319,5,TRUE
30,Johns Hopkins University (JHU),3.6,CS,PhD,Accepted,I,2014,3.35,168,154,322,4,TRUE
31,University Of California San Diego (UCSD),4,CS,PhD,Rejected,I,2015,3.65,159,165,324,3.5,TRUE
32,"University Of California, San Diego",4,CS,Masters,Accepted,I,2014,3.85,168,160,328,4,TRUE
33,The University Of Michigan Ann Arbor,4.2,CS,Masters,Accepted,A,2018,3.7,158,157,315,4,TRUE
34,"University Of Maryland, College Park",4,CS,PhD,Accepted,I,2013,3.4,168,153,321,3.5,TRUE
35,Columbia University,4.1,CS,Masters,Rejected,I,2015,3.6,151,170,321,3,TRUE
36,TAMU (Texas A & M University) College Station,3.1,CS,Masters,Accepted,I,2018,3.63,155,170,325,4,TRUE
37,Stanford University,5,CS,Masters,Rejected,I,2017,3.9,159,170,329,4,TRUE
38,Cornell,4.5,CS,Masters,Rejected,I,2014,3.41,167,169,336,4,TRUE
39,UCSD,4,CS,Masters,Accepted,A,2017,3.96,164,166,330,3.5,TRUE
40,Harvard University,4,CS,PhD,Rejected,I,2016,3.91,170,158,328,4,TRUE
41,"University Of Masachusettes, Amherst",3.7,CS,Masters,Accepted,I,2018,3.87,166,166,332,,TRUE
42,CMU,5,CS,Masters,Accepted,I,2015,3.76,164,170,334,3.5,TRUE
43,University Of Pennsylvania,3.8,CS,Masters,Rejected,U,2016,3.4,158,170,328,3,TRUE
44,Johns Hopkins,3.6,CS,PhD,Rejected,I,2015,3.6,144,170,314,3,TRUE
45,New York University-Tandon School Of Engineering,3.4,CS,Masters,Accepted,I,2017,3.8,148,167,315,3.5,TRUE
46,Brown University,3.6,CS,Masters,Rejected,I,2015,3.88,162,168,330,3.5,TRUE
47,GaTech,4.4,CS,Masters,Rejected,I,2014,3.8,162,164,326,5,TRUE
