id,university, major, degree, decision, status, year, gpafin, grev, grem, grew, new_gre
1,University Of Florida (Gainesville),CS,Masters,Accepted,I,2018,3.6,153,170,3.5,TRUE
3,The University Of Waterloo,CS,Masters,Accepted,I,2018,3.6,159,170,4.5,TRUE
5,University Of Waterloo,CS,PhD,Rejected,A,2018,3.97,170,166,5,TRUE
6,The University Of Waterloo,CS,Masters,Accepted,I,2018,3.96,169,154,4,TRUE
7,New York University (NYU) -Tandon,CS,Masters,Accepted,I,2018,3.4,165,170,4.5,TRUE
14,Cambridge University (UK),CS,PhD,Accepted,I,2018,4,165,166,5,TRUE
22,The University Of Southern California (USC),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
24,U Of Waterloo,CS,Masters,Accepted,I,2018,3.61,160,163,4.5,TRUE
28,Rheinisch-Westfälische Technische Hochschule Aachen (RWTH Aachen),Other,Masters,Accepted,I,2018,3.95,157,168,3,TRUE
32,UC Irvine (UCI),CS,Masters,Rejected,U,2018,3.64,140,163,2.5,TRUE
35,The University Of Southern California (USC),CS,Masters,Rejected,I,2018,8.34,163,163,5,TRUE
38,Columbia Uniersity,CS,Masters,Rejected,I,2018,3.6,157,170,4,TRUE
40,UC Irvine,CS,Masters,Rejected,I,2018,8.53,165,167,4,TRUE
41,UC Irvine,CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
44,UC Irvine,CS,Masters,Rejected,I,2018,3.83,162,167,4.5,TRUE
47,"California, Irvine (UCI)",CS,Masters,Rejected,I,2018,8.34,163,163,5,TRUE
48,UC Irvine (UCI),CS,Masters,Rejected,I,2018,3.73,153,165,4,TRUE
50,Columbia FFSEAS,CS,Masters,Rejected,I,2018,3.46,157,170,3.5,TRUE
56,UNC Chapel Hill,CS,PhD,Rejected,I,2018,3.9,167,166,5,TRUE
62,University Of British Columbia (UBC Vancouver),CS,Masters,Rejected,I,2018,3.6,158,166,4,TRUE
63,"McGill University (Montreal, Canada)",CS,Masters,Rejected,I,2018,3.6,158,166,4,TRUE
66,University Of Massachussets Amherst,CS,PhD,Rejected,A,2018,3.92,169,169,5,TRUE
68,University Of Chicago,CS,Masters,Accepted,A,2018,3.93,166,167,5,TRUE
69,Penn State (Pennsylvania State University),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
75,University Of Chicago,CS,Masters,Accepted,A,2018,3.86,163,167,5,TRUE
77,Mcgill University (Canada),CS,Masters,Rejected,I,2018,3,161,170,4.5,TRUE
79,"McGill University (Montreal, Canada)",CS,Masters,Rejected,I,2018,3.9,164,170,4,TRUE
80,NYU Tandon,CS,Masters,Accepted,A,2018,3.4,161,164,5,TRUE
86,UC Davis,CS,PhD,Rejected,I,2018,3.4,163,170,4,TRUE
87,Columbia University (Fu Foundation SEAS),CS,Masters,Rejected,U,2018,3.78,157,167,4,TRUE
88,UNC Chapel Hill,CS,Masters,Rejected,I,2018,3.1,162,165,4.5,TRUE
90,University Of Southern California (USC),CS,PhD,Rejected,A,2018,3.67,163,167,4,TRUE
91,Santa Barbara (UCSB),CS,Masters,Accepted,I,2018,3.83,155,167,4,TRUE
93,Virginia Tech,CS,Masters,Rejected,I,2018,7.2,158,169,4,TRUE
94,"The University Of Pennsylvania (Penn, UPenn)",CS,Masters,Accepted,A,2018,3.9,161,166,4,TRUE
99,The University Of Southern California (USC),CS,PhD,Rejected,A,2018,3.7,158,158,4,TRUE
105,University Of Alberta (U Of A),CS,Masters,Rejected,I,2018,3.5,164,170,4,TRUE
106,University Of Southern California (USC) - Viterbi School Of Engineering,CS,PhD,Rejected,A,2018,3.26,163,164,6,TRUE
107,Brown Univerisity,CS,Masters,Rejected,A,2018,3.82,150,168,4,TRUE
127,The University Of Oxford,CS,PhD,Accepted,I,2018,3.99,162,170,5,TRUE
129,"The University Of Pennsylvania (Penn, UPenn)",CS,Masters,Accepted,I,2018,3.2,160,170,4.5,TRUE
131,Columbia University (FFSEAS),CS,Masters,Rejected,I,2018,3.87,161,170,4.5,TRUE
134,Columbia University (FFSEAS),CS,Masters,Accepted,A,2018,3.77,167,168,4.5,TRUE
138,The University Of Southern California (USC),CS,Masters,Accepted,A,2018,3.33,169,170,5,TRUE
139,Penn State (Pennsylvania State University) PSU,CS,Masters,Accepted,I,2018,3.32,153,170,3.5,TRUE
140,Columbia University (Fu Foundation School Of Engineering),CS,Masters,Accepted,A,2018,3.5,161,170,5,TRUE
141,The University Of Tennesee Knoxville,CS,PhD,Accepted,U,2018,3.4,150,167,2.5,TRUE
144,University Of North Carolina Chapel Hill,CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
150,Purdue University,CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
154,Virginia Polytechnic And State University (Virginia Tech),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
